# Export File Created with QBlade CE v2.0.9_beta windows on 12.09.2025 at 14:14:58
[Simulation_12: NREL_MIT_5MW_TLP]
Time [s]	NP Wave Elevation [m]
6.7980644e+01	3.9742181e-01
6.8008141e+01	4.0264806e-01
6.8035629e+01	4.0773928e-01
6.8063118e+01	4.1269156e-01
6.8090607e+01	4.1749501e-01
6.8118095e+01	4.2214531e-01
6.8145584e+01	4.2662486e-01
6.8173073e+01	4.3093419e-01
6.8200562e+01	4.3505830e-01
6.8228050e+01	4.3898833e-01
6.8255539e+01	4.4272199e-01
6.8283028e+01	4.4623756e-01
6.8310516e+01	4.4954076e-01
6.8338005e+01	4.5261541e-01
6.8365494e+01	4.5545363e-01
6.8392982e+01	4.5804745e-01
6.8420471e+01	4.6038473e-01
6.8447960e+01	4.6246353e-01
6.8475449e+01	4.6426961e-01
6.8502945e+01	4.6580011e-01
6.8530434e+01	4.6704426e-01
6.8557922e+01	4.6799526e-01
6.8585411e+01	4.6864477e-01
6.8612900e+01	4.6898875e-01
6.8640388e+01	4.6901530e-01
6.8667877e+01	4.6871883e-01
6.8695366e+01	4.6810040e-01
6.8722855e+01	4.6713650e-01
6.8750343e+01	4.6584117e-01
6.8777832e+01	4.6419626e-01
6.8805321e+01	4.6220347e-01
6.8832809e+01	4.5985249e-01
6.8860298e+01	4.5714071e-01
6.8887787e+01	4.5406315e-01
6.8915276e+01	4.5062074e-01
6.8942764e+01	4.4681004e-01
6.8970253e+01	4.4262129e-01
6.8997749e+01	4.3805099e-01
6.9025238e+01	4.3310711e-01
6.9052727e+01	4.2778274e-01
6.9080215e+01	4.2207679e-01
6.9107704e+01	4.1598862e-01
6.9135193e+01	4.0951461e-01
6.9162682e+01	4.0266499e-01
6.9190170e+01	3.9543185e-01
6.9217659e+01	3.8781533e-01
6.9245148e+01	3.7982795e-01
6.9272636e+01	3.7145582e-01
6.9300125e+01	3.6271548e-01
6.9327614e+01	3.5360798e-01
6.9355103e+01	3.4413189e-01
6.9382591e+01	3.3429497e-01
6.9410080e+01	3.2409778e-01
6.9437569e+01	3.1355292e-01
6.9465065e+01	3.0266091e-01
6.9492554e+01	2.9142699e-01
6.9520042e+01	2.7986515e-01
6.9547531e+01	2.6797763e-01
6.9575020e+01	2.5576904e-01
6.9602509e+01	2.4325545e-01
6.9629997e+01	2.3043552e-01
6.9657486e+01	2.1732719e-01
6.9684975e+01	2.0393783e-01
6.9712463e+01	1.9027016e-01
6.9739952e+01	1.7634384e-01
6.9767441e+01	1.6216514e-01
6.9794930e+01	1.4774352e-01
6.9822418e+01	1.3309355e-01
6.9849907e+01	1.1822943e-01
6.9877396e+01	1.0315388e-01
6.9904884e+01	8.7888345e-02
6.9932373e+01	7.2437048e-02
6.9959869e+01	5.6814600e-02
6.9987358e+01	4.1045900e-02
7.0014847e+01	2.5125105e-02
7.0042336e+01	9.0775397e-03
7.0069824e+01	-7.0820451e-03
7.0097313e+01	-2.3349179e-02
7.0124802e+01	-3.9702523e-02
7.0152290e+01	-5.6130853e-02
7.0179779e+01	-7.2621286e-02
7.0207268e+01	-8.9154989e-02
7.0234756e+01	-1.0573085e-01
7.0262245e+01	-1.2232109e-01
7.0289734e+01	-1.3892022e-01
7.0317223e+01	-1.5551369e-01
7.0344711e+01	-1.7209218e-01
7.0372200e+01	-1.8863264e-01
7.0399689e+01	-2.0512910e-01
7.0427185e+01	-2.2156648e-01
7.0454674e+01	-2.3793595e-01
7.0482162e+01	-2.5422698e-01
7.0509651e+01	-2.7041984e-01
7.0537140e+01	-2.8650728e-01
7.0564629e+01	-3.0247822e-01
7.0592117e+01	-3.1831834e-01
7.0619606e+01	-3.3403537e-01
7.0647095e+01	-3.4959501e-01
7.0674583e+01	-3.6500305e-01
7.0702072e+01	-3.8024902e-01
7.0729561e+01	-3.9532423e-01
7.0757050e+01	-4.1022301e-01
7.0784538e+01	-4.2493305e-01
7.0812027e+01	-4.3945619e-01
7.0839516e+01	-4.5378336e-01
7.0867004e+01	-4.6790808e-01
7.0894493e+01	-4.8182881e-01
7.0921989e+01	-4.9554735e-01
7.0949478e+01	-5.0905061e-01
7.0976967e+01	-5.2234030e-01
7.1004456e+01	-5.3541654e-01
7.1031944e+01	-5.4828066e-01
7.1059433e+01	-5.6093025e-01
7.1086922e+01	-5.7336527e-01
7.1114410e+01	-5.8559179e-01
7.1141899e+01	-5.9760940e-01
7.1169388e+01	-6.0941917e-01
7.1196877e+01	-6.2102795e-01
7.1224365e+01	-6.3243949e-01
7.1251854e+01	-6.4365858e-01
7.1279343e+01	-6.5469104e-01
7.1306831e+01	-6.6554052e-01
7.1334320e+01	-6.7622042e-01
7.1361809e+01	-6.8672782e-01
7.1389297e+01	-6.9707912e-01
7.1416794e+01	-7.0727330e-01
7.1444283e+01	-7.1733147e-01
7.1471771e+01	-7.2725171e-01
7.1499260e+01	-7.3704809e-01
7.1526749e+01	-7.4672192e-01
7.1554237e+01	-7.5629872e-01
7.1581726e+01	-7.6577687e-01
7.1609215e+01	-7.7516532e-01
7.1636703e+01	-7.8447747e-01
7.1664192e+01	-7.9372668e-01
7.1691681e+01	-8.0292094e-01
7.1719170e+01	-8.1206614e-01
7.1746658e+01	-8.2117969e-01
7.1774147e+01	-8.3025587e-01
7.1801636e+01	-8.3932787e-01
7.1829124e+01	-8.4838873e-01
7.1856613e+01	-8.5744709e-01
7.1884109e+01	-8.6652339e-01
7.1911598e+01	-8.7560886e-01
7.1939087e+01	-8.8472104e-01
7.1966576e+01	-8.9386702e-01
7.1994064e+01	-9.0305912e-01
7.2021553e+01	-9.1228914e-01
7.2049042e+01	-9.2157602e-01
7.2076530e+01	-9.3091196e-01
7.2104019e+01	-9.4031322e-01
7.2131508e+01	-9.4977361e-01
7.2158997e+01	-9.5929539e-01
7.2186485e+01	-9.6888453e-01
7.2213974e+01	-9.7853869e-01
7.2241463e+01	-9.8826635e-01
7.2268951e+01	-9.9805212e-01
7.2296440e+01	-1.0079025e+00
7.2323929e+01	-1.0178150e+00
7.2351418e+01	-1.0277765e+00
7.2378914e+01	-1.0377868e+00
7.2406403e+01	-1.0478493e+00
7.2433891e+01	-1.0579443e+00
7.2461380e+01	-1.0680637e+00
7.2488869e+01	-1.0782055e+00
7.2516357e+01	-1.0883504e+00
7.2543846e+01	-1.0984913e+00
7.2571335e+01	-1.1086197e+00
7.2598824e+01	-1.1187201e+00
7.2626312e+01	-1.1287783e+00
7.2653801e+01	-1.1387759e+00
7.2681290e+01	-1.1487051e+00
7.2708778e+01	-1.1585419e+00
7.2736267e+01	-1.1682663e+00
7.2763756e+01	-1.1778673e+00
7.2791245e+01	-1.1873292e+00
7.2818733e+01	-1.1966275e+00
7.2846230e+01	-1.2057385e+00
7.2873718e+01	-1.2146446e+00
7.2901207e+01	-1.2233258e+00
7.2928696e+01	-1.2317588e+00
7.2956184e+01	-1.2399236e+00
7.2983673e+01	-1.2477977e+00
7.3011162e+01	-1.2553585e+00
7.3038651e+01	-1.2625829e+00
7.3066139e+01	-1.2694478e+00
7.3093628e+01	-1.2759310e+00
7.3121117e+01	-1.2820039e+00
7.3148605e+01	-1.2876587e+00
7.3176094e+01	-1.2928604e+00
7.3203583e+01	-1.2975905e+00
7.3231071e+01	-1.3018296e+00
7.3258560e+01	-1.3055443e+00
7.3286049e+01	-1.3087318e+00
7.3313538e+01	-1.3113557e+00
7.3341034e+01	-1.3134034e+00
7.3368523e+01	-1.3148556e+00
7.3396011e+01	-1.3156906e+00
7.3423500e+01	-1.3158870e+00
7.3450989e+01	-1.3154347e+00
7.3478477e+01	-1.3143166e+00
7.3505966e+01	-1.3125125e+00
7.3533455e+01	-1.3100126e+00
7.3560944e+01	-1.3067966e+00
7.3588432e+01	-1.3028538e+00
7.3615921e+01	-1.2981801e+00
7.3643410e+01	-1.2927591e+00
7.3670898e+01	-1.2865872e+00
7.3698387e+01	-1.2796502e+00
7.3725876e+01	-1.2719445e+00
7.3753365e+01	-1.2634647e+00
7.3780853e+01	-1.2542119e+00
7.3808342e+01	-1.2441728e+00
7.3835838e+01	-1.2333571e+00
7.3863327e+01	-1.2217623e+00
7.3890816e+01	-1.2093912e+00
7.3918304e+01	-1.1962478e+00
7.3945793e+01	-1.1823382e+00
7.3973282e+01	-1.1676643e+00
7.4000771e+01	-1.1522367e+00
7.4028259e+01	-1.1360676e+00
7.4055748e+01	-1.1191688e+00
7.4083237e+01	-1.1015493e+00
7.4110725e+01	-1.0832251e+00
7.4138214e+01	-1.0642128e+00
7.4165703e+01	-1.0445271e+00
7.4193192e+01	-1.0241907e+00
7.4220680e+01	-1.0032150e+00
7.4248169e+01	-9.8162705e-01
7.4275658e+01	-9.5945209e-01
7.4303154e+01	-9.3670684e-01
7.4330643e+01	-9.1341424e-01
7.4358131e+01	-8.8961494e-01
7.4385620e+01	-8.6532283e-01
7.4413109e+01	-8.4057444e-01
7.4440598e+01	-8.1539196e-01
7.4468086e+01	-7.8980011e-01
7.4495575e+01	-7.6384783e-01
7.4523064e+01	-7.3754948e-01
7.4550552e+01	-7.1094525e-01
7.4578041e+01	-6.8406707e-01
7.4605530e+01	-6.5694761e-01
