# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 08:25:42
[Conditions_01: NREL_MIT_5MW_TLP]
Time [s]	NP Pitch Y_l [deg]
3.5955799e+01	7.4690985e-03
3.5983288e+01	7.0948806e-03
3.6010777e+01	6.7227646e-03
3.6038265e+01	6.3533448e-03
3.6065754e+01	5.9866458e-03
3.6093243e+01	5.6224675e-03
3.6120731e+01	5.2605788e-03
3.6148220e+01	4.9005989e-03
3.6175709e+01	4.5416579e-03
3.6203201e+01	4.1820826e-03
3.6230690e+01	3.8193492e-03
3.6258179e+01	3.4503525e-03
3.6285667e+01	3.0718632e-03
3.6313156e+01	2.6809881e-03
3.6340645e+01	2.2754932e-03
3.6368134e+01	1.8539242e-03
3.6395622e+01	1.4155617e-03
3.6423115e+01	9.6028397e-04
3.6450603e+01	4.8838387e-04
3.6478092e+01	3.5020037e-07
3.6505581e+01	-5.0332240e-04
3.6533070e+01	-1.0222102e-03
3.6560558e+01	-1.5558907e-03
3.6588047e+01	-2.1038027e-03
3.6615536e+01	-2.6651472e-03
3.6643024e+01	-3.2388533e-03
3.6670517e+01	-3.8235560e-03
3.6698006e+01	-4.4175363e-03
3.6725494e+01	-5.0185984e-03
3.6752983e+01	-5.6239027e-03
3.6780472e+01	-6.2298072e-03
3.6807961e+01	-6.8318108e-03
3.6835449e+01	-7.4246875e-03
3.6862938e+01	-8.0028065e-03
3.6890427e+01	-8.5605709e-03
3.6917919e+01	-9.0928134e-03
3.6945408e+01	-9.5950775e-03
3.6972897e+01	-1.0063744e-02
3.7000385e+01	-1.0496012e-02
3.7027874e+01	-1.0889696e-02
3.7055363e+01	-1.1242926e-02
3.7082851e+01	-1.1553897e-02
3.7110340e+01	-1.1820856e-02
3.7137829e+01	-1.2042385e-02
3.7165321e+01	-1.2217843e-02
3.7192810e+01	-1.2347659e-02
3.7220299e+01	-1.2433281e-02
3.7247787e+01	-1.2476793e-02
3.7275276e+01	-1.2480380e-02
3.7302765e+01	-1.2445819e-02
3.7330254e+01	-1.2374150e-02
3.7357742e+01	-1.2265588e-02
3.7385231e+01	-1.2119732e-02
3.7412724e+01	-1.1935993e-02
3.7440212e+01	-1.1714054e-02
3.7467701e+01	-1.1454213e-02
3.7495190e+01	-1.1157501e-02
3.7522678e+01	-1.0825597e-02
3.7550167e+01	-1.0460570e-02
3.7577656e+01	-1.0064526e-02
3.7605145e+01	-9.6392538e-03
3.7632633e+01	-9.1859410e-03
3.7660126e+01	-8.7050349e-03
3.7687614e+01	-8.1962682e-03
3.7715103e+01	-7.6588225e-03
3.7742592e+01	-7.0916126e-03
3.7770081e+01	-6.4935787e-03
3.7797569e+01	-5.8638942e-03
3.7825058e+01	-5.2020131e-03
3.7852547e+01	-4.5075654e-03
3.7880039e+01	-3.7801967e-03
3.7907528e+01	-3.0194498e-03
3.7935017e+01	-2.2247774e-03
3.7962505e+01	-1.3957075e-03
3.7989994e+01	-5.3213118e-04
3.8017483e+01	3.6539981e-04
3.8044971e+01	1.2955108e-03
3.8072460e+01	2.2560656e-03
